Fail Type;Vin;MOS Type;Node;Fail?;Failed bits;Time_start;Time_end;Voltage
slope;1.07;CMOS_N;C_F_C10_NDBIAS;1;[1, 1, 1, 1, 0, 0];['0.0000000000E00', '0.0000000000E00', '0.0000000000E00', '0.0000000000E00', 0, 0];['4.9164387275E-07', '4.9164387275E-07', '4.9164387275E-07', '4.9164387275E-07', 0, 0];[2.2999998208000001, 2.2999996757000001, 2.2999999395300001, 2.2999999999999998, 0, 0]
slope;1.07;CMOS_N;C_F_C10_NDNEG;1;[1, 1, 1, 1, 0, 0];['0.0000000000E00', '0.0000000000E00', '0.0000000000E00', '0.0000000000E00', 0, 0];['4.9772820313E-07', '4.9772820313E-07', '4.9772820313E-07', '4.9772820313E-07', 0, 0];[2.2999998209000001, 2.2999996762000001, 2.2999999395600002, 2.2999999999999998, 0, 0]
slope;1.07;CMOS_N;C_F_C10_NDPOS;1;[1, 1, 1, 1, 0, 0];['0.0000000000E00', '0.0000000000E00', '0.0000000000E00', '0.0000000000E00', 0, 0];['4.9715301830E-07', '4.9715301830E-07', '4.9715301830E-07', '4.9715301830E-07', 0, 0];[2.2999998191, 2.2999996712000002, 2.2999999395500001, 2.2999999999999998, 0, 0]
slope;1.07;CMOS_N;C_F_C11_NDBIAS;1;[1, 1, 1, 1, 0, 0];['0.0000000000E00', '0.0000000000E00', '0.0000000000E00', '0.0000000000E00', 0, 0];['4.9221048940E-07', '4.9221048940E-07', '4.9221048940E-07', '4.9221048940E-07', 0, 0];[2.2999998172999998, 2.2999996789999999, 2.2999999393600001, 2.2999999999999998, 0, 0]
slope;1.07;CMOS_N;C_F_C11_NDNEG;1;[1, 1, 1, 1, 0, 0];['0.0000000000E00', '0.0000000000E00', '0.0000000000E00', '0.0000000000E00', 0, 0];['4.9772820313E-07', '4.9772820313E-07', '4.9772820313E-07', '4.9772820313E-07', 0, 0];[2.2999998180999999, 2.2999996790999999, 2.2999999395600002, 2.2999999999999998, 0, 0]
slope;1.07;CMOS_N;C_F_C11_NDPOS;1;[1, 1, 1, 1, 0, 0];['0.0000000000E00', '0.0000000000E00', '0.0000000000E00', '0.0000000000E00', 0, 0];['4.9688405234E-07', '4.9688405234E-07', '4.9688405234E-07', '4.9688405234E-07', 0, 0];[2.2999998109000002, 2.2999996790999999, 2.2999999394900001, 2.2999999999999998, 0, 0]
slope;1.07;CMOS_N;C_F_C12_NDBIAS;1;[1, 1, 1, 1, 0, 0];['0.0000000000E00', '0.0000000000E00', '0.0000000000E00', '0.0000000000E00', 0, 0];['4.9224587966E-07', '4.9224587966E-07', '4.9224587966E-07', '4.9224587966E-07', 0, 0];[2.2999998210000001, 2.2999996783999999, 2.2999999306899999, 2.2999999999999998, 0, 0]
slope;1.07;CMOS_N;C_F_C12_NDNEG;1;[1, 1, 1, 1, 0, 0];['0.0000000000E00', '0.0000000000E00', '0.0000000000E00', '0.0000000000E00', 0, 0];['4.9772820313E-07', '4.9772820313E-07', '4.9772820313E-07', '4.9772820313E-07', 0, 0];[2.2999998211000001, 2.2999996784999999, 2.2999999315599999, 2.2999999999999998, 0, 0]
slope;1.07;CMOS_N;C_F_C12_NDPOS;1;[1, 1, 1, 1, 0, 0];['0.0000000000E00', '0.0000000000E00', '0.0000000000E00', '0.0000000000E00', 0, 0];['4.9142128665E-07', '4.9142128665E-07', '4.9142128665E-07', '4.9142128665E-07', 0, 0];[2.2999998198, 2.2999996771000002, 2.2999999154699999, 2.2999999999999998, 0, 0]
slope;1.07;CMOS_N;C_F_C13_NDBIAS;1;[1, 1, 1, 1, 0, 0];['0.0000000000E00', '0.0000000000E00', '0.0000000000E00', '0.0000000000E00', 0, 0];['4.9200075556E-07', '4.9200075556E-07', '4.9200075556E-07', '4.9200075556E-07', 0, 0];[2.2999998188999999, 2.2999996790999999, 2.2999999394200001, 2.2999999999999998, 0, 0]
