Fail Type;Vin;MOS Type;Node;Fail?;Failed bits;Time_start;Time_end;Voltage
slope;1.09;CMOS_P;C_F_C10_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9200019676E-07', '4.9200019676E-07', 0, 0, 0, 0];[2.2999998206000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C10_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9772820313E-07', '4.9772820313E-07', 0, 0, 0, 0];[2.299999814, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C11_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9059874255E-07', '4.9059874255E-07', 0, 0, 0, 0];[2.2999998188999999, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C11_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9772820313E-07', '4.9772820313E-07', 0, 0, 0, 0];[2.2999997690999998, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C12_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9937701661E-07', '4.9937701661E-07', 0, 0, 0, 0];[2.2999998215000002, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C12_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9772820313E-07', '4.9772820313E-07', 0, 0, 0, 0];[2.2999998178999999, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C13_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9020199914E-07', '4.9020199914E-07', 0, 0, 0, 0];[2.2999998208000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C13_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9586257774E-07', '4.9586257774E-07', 0, 0, 0, 0];[2.2999997839000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C14_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9809588928E-07', '4.9809588928E-07', 0, 0, 0, 0];[2.2999998217000002, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C14_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9772820313E-07', '4.9772820313E-07', 0, 0, 0, 0];[2.2999998197, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C15_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9108750064E-07', '4.9108750064E-07', 0, 0, 0, 0];[2.2999998214000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C15_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9700251658E-07', '4.9700251658E-07', 0, 0, 0, 0];[2.2999998153000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C16_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9087031622E-07', '4.9087031622E-07', 0, 0, 0, 0];[2.2999998204000001, 2.2999999999999998, 0, 1.00000001102, 0, 0]
slope;1.09;CMOS_P;C_F_C16_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9772820313E-07', '4.9772820313E-07', 0, 0, 0, 0];[2.2999998119999998, 2.2999999999999998, 0, 1.000001404, 0, 0]
slope;1.09;CMOS_P;C_F_C17_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9824080307E-07', '4.9824080307E-07', 0, 0, 0, 0];[2.2999998178999999, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C17_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9772820313E-07', '4.9772820313E-07', 0, 0, 0, 0];[2.2999997921999999, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C18_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9802101094E-07', '4.9802101094E-07', 0, 0, 0, 0];[2.2999998207000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C18_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9703678925E-07', '4.9703678925E-07', 0, 0, 0, 0];[2.2999998169000002, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C19_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9746408004E-07', '4.9746408004E-07', 0, 0, 0, 0];[2.2999998185999999, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C19_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9395373900E-07', '4.9395373900E-07', 0, 0, 0, 0];[2.2999997976, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C1_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9064121086E-07', '4.9064121086E-07', 0, 0, 0, 0];[2.2999997513000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C1_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9772820313E-07', '4.9772820313E-07', 0, 0, 0, 0];[2.2999998142, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C20_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9734896857E-07', '4.9734896857E-07', 0, 0, 0, 0];[2.2999998209000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C20_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9387625296E-07', '4.9387625296E-07', 0, 0, 0, 0];[2.2999998171999998, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C21_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9707106192E-07', '4.9707106192E-07', 0, 0, 0, 0];[2.2999998180999999, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C21_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9136987764E-07', '4.9136987764E-07', 0, 0, 0, 0];[2.2999997995000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C22_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9771963496E-07', '4.9771963496E-07', 0, 0, 0, 0];[2.2999998191, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C22_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9941352446E-07', '4.9941352446E-07', 0, 0, 0, 0];[2.2999998145, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C23_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9745551188E-07', '4.9745551188E-07', 0, 0, 0, 0];[2.2999998198, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C23_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9774980981E-07', '4.9774980981E-07', 0, 0, 0, 0];[2.2999998007000002, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C24_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9714407761E-07', '4.9714407761E-07', 0, 0, 0, 0];[2.2999998213000001, 2.2999999999999998, 0, 1.0000001326000001, 0, 0]
slope;1.09;CMOS_P;C_F_C24_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9645042855E-07', '4.9645042855E-07', 0, 0, 0, 0];[2.2999998161000001, 2.2999999999999998, 0, 1.000004087, 0, 0]
slope;1.09;CMOS_P;C_F_C25_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9043482978E-07', '4.9043482978E-07', 0, 0, 0, 0];[2.2999998203000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C25_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9560925800E-07', '4.9560925800E-07', 0, 0, 0, 0];[2.2999998065999998, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C26_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9808732111E-07', '4.9808732111E-07', 0, 0, 0, 0];[2.2999998215000002, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C26_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9381925602E-07', '4.9381925602E-07', 0, 0, 0, 0];[2.2999998179999999, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C27_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9718244810E-07', '4.9718244810E-07', 0, 0, 0, 0];[2.2999998207000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C27_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9268527765E-07', '4.9268527765E-07', 0, 0, 0, 0];[2.2999998089, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C28_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9811563332E-07', '4.9811563332E-07', 0, 0, 0, 0];[2.2999998217000002, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C28_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9066784669E-07', '4.9066784669E-07', 0, 0, 0, 0];[2.2999998191, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C29_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9713625450E-07', '4.9713625450E-07', 0, 0, 0, 0];[2.2999998211000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C29_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9945655156E-07', '4.9945655156E-07', 0, 0, 0, 0];[2.2999998104000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C2_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9388966400E-07', '4.9388966400E-07', 0, 0, 0, 0];[2.2999998209000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C2_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9772820313E-07', '4.9772820313E-07', 0, 0, 0, 0];[2.2999998217000002, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C30_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9818492372E-07', '4.9818492372E-07', 0, 0, 0, 0];[2.2999998185999999, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C30_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9763637472E-07', '4.9763637472E-07', 0, 0, 0, 0];[2.2999998204000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C31_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9811451573E-07', '4.9811451573E-07', 0, 0, 0, 0];[2.2999998215000002, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C31_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9569000367E-07', '4.9569000367E-07', 0, 0, 0, 0];[2.2999998167000002, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C32_MSB;1;[1, 1, 0, 0, 0, 1];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, '7.6400010670E-09'];['4.9057420220E-07', '4.9057420220E-07', 0, 0, 0, '2.5057013955E-07'];[2.2999997913999999, 2.2999999999999998, 0, 1.0000037150000001, 0, 1.274]
slope;1.09;CMOS_P;C_F_C32_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9819200177E-07', '4.9819200177E-07', 0, 0, 0, 0];[2.2999998210000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C32_NDPOS;1;[1, 1, 0, 0, 0, 1];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, '2.5500022853E-09'];['4.9408105079E-07', '4.9408105079E-07', 0, 0, 0, '7.6400010670E-09'];[2.2999998171999998, 2.2999999999999998, 0, 1.0000003917, 0, 1.093]
slope;1.09;CMOS_P;C_F_C33_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9679837067E-07', '4.9679837067E-07', 0, 0, 0, 0];[2.2999998193, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C33_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9314283643E-07', '4.9314283643E-07', 0, 0, 0, 0];[2.2999997426999998, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C34_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9661694903E-07', '4.9661694903E-07', 0, 0, 0, 0];[2.2999998211000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_P;C_F_C34_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9157076392E-07', '4.9157076392E-07', 0, 0, 0, 0];[2.2999998182999999, 2.2999999999999998, 0, 0, 0, 0]
