Fail Type;Vin;MOS Type;Node;Fail?;Failed bits;Time_start;Time_end;Voltage
slope;1.09;CMOS_N;C_F_C10_NDBIAS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9010458280E-07', '4.9010458280E-07', 0, 0, 0, 0];[2.2999998209000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_N;C_F_C10_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9772820313E-07', '4.9772820313E-07', 0, 0, 0, 0];[2.2999998207000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_N;C_F_C10_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9755832989E-07', '4.9755832989E-07', 0, 0, 0, 0];[2.2999998183999999, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_N;C_F_C11_NDBIAS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9541125883E-07', '4.9541125883E-07', 0, 0, 0, 0];[2.2999998171999998, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_N;C_F_C11_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9772820313E-07', '4.9772820313E-07', 0, 0, 0, 0];[2.2999998181999999, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_N;C_F_C11_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9269198317E-07', '4.9269198317E-07', 0, 0, 0, 0];[2.2999998109000002, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_N;C_F_C12_NDBIAS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9837808002E-07', '4.9837808002E-07', 0, 0, 0, 0];[2.2999998211000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_N;C_F_C12_NDNEG;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9772820313E-07', '4.9772820313E-07', 0, 0, 0, 0];[2.2999998210000001, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_N;C_F_C12_NDPOS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9630514223E-07', '4.9630514223E-07', 0, 0, 0, 0];[2.2999998201, 2.2999999999999998, 0, 0, 0, 0]
slope;1.09;CMOS_N;C_F_C13_NDBIAS;1;[1, 1, 0, 0, 0, 0];['0.0000000000E00', '0.0000000000E00', 0, 0, 0, 0];['4.9198604066E-07', '4.9198604066E-07', 0, 0, 0, 0];[2.2999998188999999, 2.2999999999999998, 0, 0, 0, 0]
